Timeline Medical Writers
384-322 BC		Aristotle of Stagira
330 BC			Diocles of Carystos
320 BC			Praxagoras of Cos
280 BC			Herophilus of CHalcedon
280 BC			Erasistratus of Ceos
219 BC			Archagathus in Rome
234-149 BC		Cato
95 BC			Asclepiades of Bithynia
80 BC			Heraclides of Tarentum
80 BC			Apollonius of Citium
23-79 AD		Pliny
40 AD 			Celsus
48 AD			Scibonius Largus
60 AD			Thessalus of Tralles
60 AD			Pedanius Dioscorides
100 AD			Rugus of Ephesus
100 AD			Soranus of Ephesus
120 AD			Marinus, anatomist
129-200\216 AD	Galen
140 AD			Aretaeus of Cappadocia
325-400 AD		Magnus of Nisibis
380 AD			Marcellus of Bordeaux
400 AD			Caelius Aurelianus
530 AD			Aetius of Amida
570 AD			Alexander of Tralles
600 AD			Ravenna Commentators
630 AD			Paul of Aegina
d 640 AD		Isidore of Seville Last of the founding christian fathers - Much of it lifted from Aretaeus/Pliny
900 AD			Leechbook of Balk - In old English 



















References
The Western Medical Tradition 800 BC to 1800 AD
